,0
0,83282644.11141035
1,83282644.11141035
2,83282644.11141035
3,14879163.414894875
4,14879163.414894875
5,14879163.414894875
6,14879163.414894875
7,14879163.414894875
8,14879163.414894875
9,14879163.414894875
10,14879163.414894875
11,14879163.414894875
12,14879163.414894875
13,14879163.414894875
14,14879163.414894875
15,14879163.414894875
16,14879163.414894875
17,14879163.414894875
18,14879163.414894875
19,14879163.414894875
20,14879163.414894875
21,14879163.414894875
22,14879163.414894875
23,14879163.414894875
24,14879163.414894875
25,14879163.414894875
26,14879163.414894875
27,14879163.414894875
28,14879163.414894875
29,14879163.414894875
30,14879163.414894875
31,14879163.414894875
32,14879163.414894875
33,14879163.414894875
34,14879163.414894875
35,14879163.414894875
36,14879163.414894875
37,14879163.414894875
38,14879163.414894875
39,14879163.414894875
40,14879163.414894875
41,14879163.414894875
42,14879163.414894875
43,14879163.414894875
44,14879163.414894875
45,14879163.414894875
46,14879163.414894875
47,14879163.414894875
48,14879163.414894875
49,14879163.414894875
50,14879163.414894875
51,14879163.414894875
52,14879163.414894875
53,14879163.414894875
54,14879163.414894875
55,14879163.414894875
56,14879163.414894875
57,14879163.414894875
58,14879163.414894875
59,14879163.414894875
60,14879163.414894875
61,14879163.414894875
62,14879163.414894875
63,14879163.414894875
64,14879163.414894875
65,14879163.414894875
66,14879163.414894875
67,14879163.414894875
68,14879163.414894875
69,14879163.414894875
70,14879163.414894875
71,14879163.414894875
72,14879163.414894875
73,14879163.414894875
74,14879163.414894875
75,14879163.414894875
76,14879163.414894875
77,14879163.414894875
78,14879163.414894875
79,14879163.414894875
80,14879163.414894875
81,14879163.414894875
82,14879163.414894875
83,14879163.414894875
84,14879163.414894875
85,14879163.414894875
86,14879163.414894875
87,14879163.414894875
88,14879163.414894875
89,14879163.414894875
90,14879163.414894875
91,14879163.414894875
92,14879163.414894875
93,14879163.414894875
94,14879163.414894875
95,14879163.414894875
96,14879163.414894875
97,14879163.414894875
98,14879163.414894875
99,14879163.414894875
100,14879163.414894875
101,14879163.414894875
102,14879163.414894875
103,14879163.414894875
104,14879163.414894875
105,14879163.414894875
106,14879163.414894875
107,14879163.414894875
108,14879163.414894875
109,14879163.414894875
110,14879163.414894875
111,14879163.414894875
112,14879163.414894875
113,14879163.414894875
114,14879163.414894875
115,14879163.414894875
116,14879163.414894875
117,14879163.414894875
118,14879163.414894875
119,14879163.414894875
120,14879163.414894875
121,14879163.414894875
122,14879163.414894875
123,14879163.414894875
124,14879163.414894875
125,14879163.414894875
126,14879163.414894875
127,14879163.414894875
128,14879163.414894875
129,14879163.414894875
130,14879163.414894875
131,14879163.414894875
132,14879163.414894875
133,14879163.414894875
134,14879163.414894875
135,14879163.414894875
136,14879163.414894875
137,14879163.414894875
138,14879163.414894875
139,14879163.414894875
140,14879163.414894875
141,14879163.414894875
142,14879163.414894875
143,14879163.414894875
144,14879163.414894875
145,14879163.414894875
146,14879163.414894875
147,14879163.414894875
148,14879163.414894875
149,14879163.414894875
150,14879163.414894875
151,14879163.414894875
152,14879163.414894875
153,14879163.414894875
154,14879163.414894875
155,14879163.414894875
156,14879163.414894875
157,14879163.414894875
158,14879163.414894875
159,14879163.414894875
160,14879163.414894875
161,14879163.414894875
162,14879163.414894875
163,14879163.414894875
164,14879163.414894875
165,14879163.414894875
166,14879163.414894875
167,14879163.414894875
168,14879163.414894875
169,14879163.414894875
170,14879163.414894875
171,14879163.414894875
172,14879163.414894875
173,14879163.414894875
174,14879163.414894875
175,14879163.414894875
176,14879163.414894875
177,14879163.414894875
178,14879163.414894875
179,14879163.414894875
180,14879163.414894875
181,14879163.414894875
182,14879163.414894875
183,14879163.414894875
184,14879163.414894875
185,14879163.414894875
186,14879163.414894875
187,14879163.414894875
188,14879163.414894875
189,14879163.414894875
190,14879163.414894875
191,14879163.414894875
192,14879163.414894875
193,14879163.414894875
194,14879163.414894875
195,14879163.414894875
196,14879163.414894875
197,14879163.414894875
198,14879163.414894875
199,14879163.414894875
200,14879163.414894875
