,0
0,-0.084401097
1,-0.084401097
2,-0.084401097
3,-0.084401097
4,-0.084401097
5,-0.084401097
6,-0.084401097
7,-0.084401097
8,-0.084401097
9,-0.084401097
10,-0.084401097
11,-0.084401097
12,-0.084401097
13,-0.084401097
14,-0.084401097
15,-0.084401097
16,-0.084401097
17,-0.084401097
18,-0.084401097
19,-0.084401097
20,-0.084401097
21,-0.084401097
22,-0.084401097
23,-0.084401097
24,-0.084401097
25,-0.084401097
26,-0.084401097
27,-0.084401097
28,-0.084401097
29,-0.084401097
30,-0.084401097
31,-0.084401097
32,-0.084401097
33,-0.084401097
34,-0.084401097
35,-0.084401097
36,-0.084401097
37,-0.084401097
38,-0.084401097
39,-0.084401097
40,-0.084401097
41,-0.084401097
42,-0.084401097
43,-0.084401097
44,-0.084401097
45,-0.084401097
46,-0.084401097
47,-0.084401097
48,-0.084401097
49,-0.084401097
50,-0.084401097
51,-0.084401097
52,-0.084401097
53,-0.084401097
54,-0.084401097
55,-0.084401097
56,-0.084401097
57,-0.084401097
58,-0.084401097
59,-0.084401097
60,-0.084401097
61,-0.084401097
62,-0.084401097
63,-0.084401097
64,-0.084401097
65,-0.084401097
66,-0.084401097
67,-0.084401097
68,-0.084401097
69,-0.084401097
70,-0.084401097
71,-0.084401097
72,-0.084401097
73,-0.084401097
74,-0.084401097
75,-0.084401097
76,-0.084401097
77,-0.084401097
78,-0.084401097
79,-0.084401097
80,-0.084401097
81,-0.084401097
82,-0.084401097
83,-0.084401097
84,-0.084401097
85,-0.084401097
86,-0.084401097
87,-0.084401097
88,-0.084401097
89,-0.084401097
90,-0.084401097
91,-0.084401097
92,-0.084401097
93,-0.084401097
94,-0.084401097
95,-0.084401097
96,-0.084401097
97,-0.084401097
98,-0.084401097
99,-0.084401097
100,-0.084401097
101,-0.084401097
102,-0.084401097
103,-0.084401097
104,-0.084401097
105,-0.084401097
106,-0.084401097
107,-0.084401097
108,-0.084401097
109,-0.084401097
110,-0.084401097
111,-0.084401097
112,-0.084401097
113,-0.084401097
114,-0.084401097
115,-0.084401097
116,-0.084401097
117,-0.084401097
118,-0.084401097
119,-0.084401097
120,-0.084401097
121,-0.084401097
122,-0.084401097
123,-0.084401097
124,-0.084401097
125,-0.084401097
126,-0.084401097
127,-0.084401097
128,-0.084401097
129,-0.084401097
130,-0.084401097
131,-0.084401097
132,-0.084401097
133,-0.084401097
134,-0.084401097
135,-0.084401097
136,-0.084401097
137,-0.084401097
138,-0.084401097
139,-0.084401097
140,-0.084401097
141,-0.084401097
142,-0.084401097
143,-0.084401097
144,-0.084401097
145,-0.084401097
146,-0.084401097
147,-0.084401097
148,-0.084401097
149,-0.084401097
150,-0.084401097
151,-0.084401097
152,-0.084401097
153,-0.084401097
154,-0.084401097
155,-0.084401097
156,-0.084401097
157,-0.084401097
158,-0.084401097
159,-0.084401097
160,-0.084401097
161,-0.084401097
162,-0.084401097
163,-0.084401097
164,-0.084401097
165,-0.084401097
166,-0.084401097
167,-0.084401097
168,-0.084401097
169,-0.084401097
170,-0.084401097
171,-0.084401097
172,-0.084401097
173,-0.084401097
174,-0.084401097
175,-0.084401097
176,-0.084401097
177,-0.084401097
178,-0.084401097
179,-0.084401097
180,-0.084401097
181,-0.084401097
182,-0.084401097
183,-0.084401097
184,-0.084401097
185,-0.084401097
186,-0.084401097
187,-0.084401097
188,-0.084401097
189,-0.084401097
190,-0.084401097
191,-0.084401097
192,-0.084401097
193,-0.084401097
194,-0.084401097
195,-0.084401097
196,-0.084401097
197,-0.084401097
198,-0.084401097
199,-0.084401097
200,-0.084401097
