,0
0,-272.32966862002496
1,-272.32966862002496
2,-272.32966862002496
3,-272.32966862002496
4,-272.32966862002496
5,-272.32966862002496
6,-272.32966862002496
7,-272.32966862002496
8,-272.32966862002496
9,-272.32966862002496
10,-272.32966862002496
11,-272.32966862002496
12,-272.32966862002496
13,-272.32966862002496
14,-272.32966862002496
15,-272.32966862002496
16,-272.32966862002496
17,-272.32966862002496
18,-272.32966862002496
19,-272.32966862002496
20,-272.32966862002496
21,-272.32966862002496
22,-272.32966862002496
23,-272.32966862002496
24,-272.32966862002496
25,-272.32966862002496
26,-272.32966862002496
27,-272.32966862002496
28,-272.32966862002496
29,-272.32966862002496
30,-272.32966862002496
31,-272.32966862002496
32,-272.32966862002496
33,-272.32966862002496
34,-272.32966862002496
35,-272.32966862002496
36,-272.32966862002496
37,-272.32966862002496
38,-272.32966862002496
39,-272.32966862002496
40,-272.32966862002496
41,-272.32966862002496
42,-272.32966862002496
43,-272.32966862002496
44,-272.32966862002496
45,-272.32966862002496
46,-272.32966862002496
47,-272.32966862002496
48,-272.32966862002496
49,-272.32966862002496
50,-272.32966862002496
51,-272.32966862002496
52,-272.32966862002496
53,-272.32966862002496
54,-272.32966862002496
55,-272.32966862002496
56,-272.32966862002496
57,-272.32966862002496
58,-272.32966862002496
59,-272.32966862002496
60,-272.32966862002496
61,-272.32966862002496
62,-272.32966862002496
63,-272.32966862002496
64,-272.32966862002496
65,-272.32966862002496
66,-272.32966862002496
67,-272.32966862002496
68,-272.32966862002496
69,-272.32966862002496
70,-272.32966862002496
71,-272.32966862002496
72,-272.32966862002496
73,-272.32966862002496
74,-272.32966862002496
75,-272.32966862002496
76,-272.32966862002496
77,-272.32966862002496
78,-272.32966862002496
79,-272.32966862002496
80,-272.32966862002496
81,-272.32966862002496
82,-272.32966862002496
83,-272.32966862002496
84,-272.32966862002496
85,-272.32966862002496
86,-272.32966862002496
87,-272.32966862002496
88,-272.32966862002496
89,-272.32966862002496
90,-272.32966862002496
91,-272.32966862002496
92,-272.32966862002496
93,-272.32966862002496
94,-272.32966862002496
95,-272.32966862002496
96,-272.32966862002496
97,-272.32966862002496
98,-272.32966862002496
99,-272.32966862002496
100,-272.32966862002496
101,-272.32966862002496
102,-272.32966862002496
103,-272.32966862002496
104,-272.32966862002496
105,-272.32966862002496
106,-272.32966862002496
107,-272.32966862002496
108,-272.32966862002496
109,-272.32966862002496
110,-272.32966862002496
111,-272.32966862002496
112,-272.32966862002496
113,-272.32966862002496
114,-272.32966862002496
115,-272.32966862002496
116,-272.32966862002496
117,-272.32966862002496
118,-272.32966862002496
119,-272.32966862002496
120,-272.32966862002496
121,-272.32966862002496
122,-272.32966862002496
123,-272.32966862002496
124,-272.32966862002496
125,-272.32966862002496
126,-272.32966862002496
127,-272.32966862002496
128,-272.32966862002496
129,-272.32966862002496
130,-272.32966862002496
131,-272.32966862002496
132,-272.32966862002496
133,-272.32966862002496
134,-272.32966862002496
135,-272.32966862002496
136,-272.32966862002496
137,-272.32966862002496
138,-272.32966862002496
139,-272.32966862002496
140,-272.32966862002496
141,-272.32966862002496
142,-272.32966862002496
143,-272.32966862002496
144,-272.32966862002496
145,-272.32966862002496
146,-272.32966862002496
147,-272.32966862002496
148,-272.32966862002496
149,-272.32966862002496
150,-272.32966862002496
151,-272.32966862002496
152,-272.32966862002496
153,-272.32966862002496
154,-272.32966862002496
155,-272.32966862002496
156,-272.32966862002496
157,-272.32966862002496
158,-272.32966862002496
159,-272.32966862002496
160,-272.32966862002496
161,-272.32966862002496
162,-272.32966862002496
163,-272.32966862002496
164,-272.32966862002496
165,-272.32966862002496
166,-272.32966862002496
167,-272.32966862002496
168,-272.32966862002496
169,-272.32966862002496
170,-272.32966862002496
171,-272.32966862002496
172,-272.32966862002496
173,-272.32966862002496
174,-272.32966862002496
175,-272.32966862002496
176,-272.32966862002496
177,-272.32966862002496
178,-272.32966862002496
179,-272.32966862002496
180,-272.32966862002496
181,-272.32966862002496
182,-272.32966862002496
183,-272.32966862002496
184,-272.32966862002496
185,-272.32966862002496
186,-272.32966862002496
187,-272.32966862002496
188,-272.32966862002496
189,-272.32966862002496
190,-272.32966862002496
191,-272.32966862002496
192,-272.32966862002496
193,-272.32966862002496
194,-272.32966862002496
195,-272.32966862002496
196,-272.32966862002496
197,-272.32966862002496
198,-272.32966862002496
199,-272.32966862002496
200,-272.32966862002496
